active,brand,category,intent,question_examples,answer,priority,source_id,updated_at
TRUE,ZeO,faq,opening_hours,"Shop mở cửa lúc mấy giờ?;Giờ làm việc?;Shop mở cửa đến mấy giờ?;Shop có mở cuối tuần không?;Mấy giờ đóng cửa?","Dạ shop mở cửa từ 8:00 đến 21:00 mỗi ngày nha bạn.",100,zeo_faq_v1,2026-07-31
TRUE,ZeO,shipping,shipping_nationwide,"Có giao hàng không?;Shop có ship không?;Có giao toàn quốc không?;Ship ra tỉnh xa không?;Giao hàng đến nhà không?","Dạ bên mình giao hàng toàn quốc qua các đối tác vận chuyển như GHTK và J&T nha bạn.",100,zeo_faq_v1,2026-07-31
TRUE,ZeO,payment,cod_payment,"Có COD không?;Trả tiền mặt được không?;Ship rồi thu tiền không?;Giao hàng thu tiền mặt không?;Đặt hàng trả sau được không?;Thanh toán khi nhận hàng không?","Dạ hiện tại bên mình chưa hỗ trợ COD bạn ơi. Bạn thanh toán chuyển khoản trước rồi mình giao hàng nha.",100,zeo_faq_v1,2026-07-31
TRUE,ZeO,faq,buy_online,"Muốn mua hàng;Mua ở đâu?;Có link mua hàng không?;Đặt hàng online như thế nào?;Order ở đâu?;Mua trên web nào?","Dạ bạn có thể đặt hàng qua cửa hàng chính thức của ZeO Vietnam tại https://bitly.li/Arva hoặc gọi hotline 1900 5307 chọn phím nhánh số 02 nha.",100,zeo_faq_v1,2026-07-31
TRUE,ZeO,operations,address,"Địa chỉ ở đâu?;Công ty ở đâu?;ZeO Vietnam ở đâu?;Nhà máy ở đâu?;Văn phòng ở đâu?","Dạ địa chỉ công ty ở Trục chính KCN Trà Nóc 1, phường Thới An Đông, thành phố Cần Thơ nha bạn.",100,zeo_faq_v1,2026-07-31
TRUE,ZeO,wholesale,wholesale_dealer,"Muốn nhập hàng;Muốn làm đại lý;Có chính sách sỉ không?;Muốn phân phối sản phẩm;Lấy sỉ được không?;Nhập hàng số lượng lớn;Muốn hợp tác phân phối","Dạ bạn cho mình xin số điện thoại và khu vực muốn kinh doanh nhé. Admin sẽ chuyển thông tin để nhân viên khu vực liên hệ bạn sớm nhất ạ.",90,zeo_faq_v1,2026-07-31
TRUE,ZeO,support,support_general,"Cần hỗ trợ;Hỗ trợ giúp mình;Mình cần gặp admin;Cần giúp đỡ;Có vấn đề cần hỏi","Dạ bạn cần mình hỗ trợ về sản phẩm hay dịch vụ nào ạ?",90,zeo_faq_v1,2026-07-31
TRUE,ZeO,support,consulting,"Cần tư vấn;Tư vấn giúp mình;Mình muốn hỏi về sản phẩm;Tư vấn sản phẩm;Hỏi thông tin sản phẩm","Dạ mình sẵn sàng hỗ trợ ạ. Bạn cần tư vấn về sản phẩm nào nha?",90,zeo_faq_v1,2026-07-31
TRUE,ZeO,payment,payment_methods,"Thanh toán bằng gì?;Chuyển khoản ngân hàng nào?;Có Momo không?;Thanh toán online được không?;Chấp nhận thanh toán gì?","Dạ bên mình nhận thanh toán chuyển khoản ngân hàng và ví điện tử bạn ơi. Admin sẽ gửi thông tin tài khoản khi bạn đặt hàng nha.",85,zeo_faq_v1,2026-07-31
TRUE,ZeO,shipping,shipping_time,"Giao hàng mấy ngày?;Bao lâu thì nhận được hàng?;Ship nhanh không?;Bao nhiêu ngày nhận hàng?;Thời gian giao hàng?","Dạ thông thường 2-5 ngày làm việc tùy khu vực bạn ơi. Nội thành Cần Thơ có thể nhận trong ngày hoặc hôm sau nha.",85,zeo_faq_v1,2026-07-31
TRUE,ZeO,shipping,shipping_fee,"Phí ship bao nhiêu?;Có miễn phí ship không?;Ship phí tính như thế nào?;Free ship không?;Phí vận chuyển bao nhiêu?","Dạ phí ship tùy theo khoảng cách và đơn vị vận chuyển. Đơn hàng đủ điều kiện sẽ được miễn phí ship bạn nhé. Admin xác nhận chi tiết khi bạn đặt hàng nha.",80,zeo_faq_v1,2026-07-31
TRUE,ZeO,product,product_info,"Sản phẩm ZeO là gì?;ZeO có sản phẩm gì?;Bán những gì?;Có dòng sản phẩm nào?;Giới thiệu sản phẩm đi","Dạ ZeO Vietnam chuyên về các sản phẩm chăm sóc cá nhân và gia dụng chất lượng cao bạn ơi. Bạn muốn tìm hiểu dòng sản phẩm nào để mình tư vấn cụ thể nha.",85,zeo_faq_v1,2026-07-31
TRUE,ZeO,faq,contact_hotline,"Hotline bao nhiêu?;Số điện thoại liên hệ?;Gọi điện cho shop số mấy?;Liên hệ số nào?;Số hotline ZeO?","Dạ hotline của ZeO Vietnam là 1900 5307, chọn phím nhánh số 02 nha bạn.",95,zeo_faq_v1,2026-07-31
TRUE,ZeO/PANO/Oplus,faq,greeting,"Xin chào;Chào shop;Hello;Hi shop;Alo;Chào bạn","Dạ chào bạn! Mình là trợ lý của ZeO Vietnam. Mình có thể hỗ trợ gì cho bạn hôm nay ạ?",70,zeo_faq_v1,2026-07-31
TRUE,ZeO,policy,return_policy_info,"Có đổi trả không?;Chính sách đổi trả như thế nào?;Mua rồi đổi được không?;Trả hàng được không?","Dạ ZeO có chính sách đổi trả trong vòng 7 ngày với sản phẩm lỗi sản xuất. Bạn vui lòng giữ nguyên bao bì và liên hệ admin để được hỗ trợ nha.",75,zeo_faq_v1,2026-07-31
