active,brand,category,intent,question_examples,answer,priority,source_id,updated_at,audience,answer_mode,risk_level,learning_tags,profile_slots,escalation_policy
TRUE,ZeO,faq,shop_opening_hours,Shop mở cửa lúc mấy giờ?;Giờ làm việc của shop thế nào?;Shop bán hàng từ mấy giờ đến mấy giờ?;Hôm nay shop có mở cửa không?;Shop làm việc đến mấy giờ?,Dạ shop mở cửa từ 8:00 đến 21:00 mỗi ngày nha bạn.,90,zeo_auto_reply_docx_v1,2026-07-31,customer,rewrite,low,faq,,
TRUE,ZeO,shipping,nationwide_shipping_no_cod,Shop có giao hàng không?;ZeO có ship toàn quốc không?;Shop giao hàng qua đơn vị nào?;Có giao hàng tận nơi không?;Shop có hỗ trợ COD không?;Tôi có được thanh toán khi nhận hàng không?;ship tiep don cu sao shop;khach cu dat lai co ship khong;ship ve khu vuc minh duoc k;minh o binh duong ship sao,"Dạ ZeO có giao hàng toàn quốc qua các đối tác như GHTK, J&T và các đơn vị vận chuyển khác. shop không hỗ trợ hình thức COD nha bạn.",100,zeo_auto_reply_docx_v1,2026-07-31,customer,rewrite,low,faq|shipping|returning_customer,,
TRUE,ZeO,sales,online_purchase,Tôi muốn mua hàng thì làm sao?;Mua sản phẩm ZeO online ở đâu?;Cho mình xin link cửa hàng chính thức;Đặt hàng trực tuyến như thế nào?;Mua hàng qua hotline được không?;Shop gửi mình đường dẫn mua hàng nhé;mua tiep nhu lan truoc duoc k;khach cu muon dat lai;dat them san pham zeo;mua lai don cu;minh da co sdt trong he thong roi;co link shopee ko;co link shopee khong;cho minh link shopee;tôi muốn mua sản phẩm PANO;toi muon mua san pham pano;mua PANO ở đâu;mua pano o dau;làm sao để mua bây giờ;lam sao de mua bay gio,"Dạ bạn có thể mua hàng trực tuyến tại cửa hàng chính thức của ZeO Vietnam qua https://zeo.vn/ hoặc liên hệ hotline 1900 5307, phím nhánh số 02 nha bạn. Nếu bạn cần link Shopee/TikTok cụ thể, admin ZeO sẽ kiểm tra và gửi đúng link chính thức để tránh nhầm shop ạ.",100,zeo_auto_reply_docx_v1,2026-08-13,customer,direct,low,faq|sales|lead_capture|customer_profile|returning_customer,phone|area,
TRUE,ZeO/PANO/Oplus,sales,order_request,Tôi muốn 2kg nước giặt và 2 chai thuốc tẩy;toi muon 2kg nuoc giat va 2 chai thuoc tay;cho mình đặt 1 can nước lau sàn;dat 2 chai nuoc rua chen;lay 3 tui bot giat;minh mua 2 chai tay toilet;shop cho 2 chai javen;toi muon mua 2kg nuoc giat,"Dạ ZeO đã ghi nhận nhu cầu đặt sản phẩm của bạn. Bạn gửi thêm số điện thoại và khu vực/tỉnh thành để admin kiểm tra đúng sản phẩm, quy cách, giá và hỗ trợ chốt đơn nha.",98,zeo_runtime_regression_v1,2026-08-13,customer,direct,medium,faq|sales|order_capture|lead_capture|customer_profile,phone|area,if_profile_has_phone_and_area_route_review_order_contact_ready
TRUE,ZeO/PANO/Oplus,sales,wholesale_inquiry,Tôi muốn nhập hàng thì làm sao?;Làm sao để đăng ký làm đại lý?;Tôi muốn lấy sỉ sản phẩm;Muốn kinh doanh ZeO thì liên hệ ai?;Cho mình thông tin nhà phân phối;Tôi muốn hợp tác phân phối sản phẩm;toi muon lam dai ly zeo;minh muon lay si tiep;khach cu muon nhap hang lai;da co sdt roi minh o binh duong;sdt minh da gui truoc do;lay si o khu vuc minh duoc khong;toi muon lam dai li;muon lam dai li;dang ky dai li duoc khong,Dạ bạn vui lòng để lại số điện thoại và khu vực muốn kinh doanh. Admin sẽ chuyển thông tin đến nhà phân phối hoặc nhân viên phụ trách khu vực để liên hệ bạn sớm nhất ạ.,95,zeo_auto_reply_docx_v1,2026-08-13,customer,direct,low,faq|sales|lead_capture|customer_profile|returning_customer,phone|area|need,if_profile_has_phone_and_area_route_review_lead_contact_ready
TRUE,ZeO/PANO/Oplus,support,general_support_request,Mình cần hỗ trợ;Admin hỗ trợ mình với;Tôi đang gặp vấn đề với sản phẩm;Cho mình gặp bộ phận hỗ trợ;Shop có thể giúp mình không?;Mình cần hỗ trợ về dịch vụ;toi can nhan vien goi lai;minh da gui sdt roi ho tro tiep giup;khach cu can ho tro don hang;admin xem lai giup minh;minh can tu van tiep,Dạ bạn cần mình hỗ trợ vấn đề gì về sản phẩm hoặc dịch vụ ạ? Bạn mô tả giúp mình để mình hỗ trợ chính xác hơn nha.,90,zeo_auto_reply_docx_v1,2026-07-31,customer,direct,medium,faq|support|lead_capture|customer_profile|returning_customer|admin_review_if_uncertain,phone|area,if_human_help_and_profile_has_phone_and_area_route_review
TRUE,ZeO/PANO/Oplus,support,product_consultation_request,Mình cần tư vấn sản phẩm;Shop tư vấn giúp mình nhé;Không biết nên chọn sản phẩm nào;Admin tư vấn loại phù hợp giúp mình;Mình muốn hỏi về sản phẩm;Có ai tư vấn cho mình không?;tu van lai giup minh;lan truoc mua loai nao nhi;minh muon mua tiep san pham phu hop;nha minh can dung tiep loai nao,Dạ mình sẵn sàng hỗ trợ ạ. Bạn đang cần tư vấn về sản phẩm nào hoặc nhu cầu sử dụng cụ thể ra sao nha?,90,zeo_auto_reply_docx_v1,2026-07-31,customer,rewrite,medium,faq|support|returning_customer|admin_review_if_uncertain,phone|area,review_if_sensitive_or_missing_order_context
TRUE,ZeO/PANO/Oplus,faq,company_address,Địa chỉ công ty ở đâu?;Công ty ZeO nằm ở đâu?;Cho mình xin địa chỉ công ty;Công ty ở Cần Thơ phải không?;Mình muốn đến công ty thì đi đâu?;Địa chỉ nhà máy là gì?,"Dạ địa chỉ Công ty là Trục chính KCN Trà Nóc 1, phường Thới An Đông, thành phố Cần Thơ ạ.",85,zeo_auto_reply_docx_v1,2026-07-31,customer,direct,low,faq,,
TRUE,ZeO/PANO/Oplus,policy,return_policy_scope,Chính sách đổi trả áp dụng cho sản phẩm nào?;Mua trên Shopee có được đổi trả không?;Hàng mua ở đại lý có áp dụng đổi trả không?;Mua trên TikTok Shop có được đổi hàng không?;Kênh nào được áp dụng chính sách đổi trả?,"Dạ chính sách đổi trả áp dụng cho các sản phẩm PANO, ZeO và Oplus được bán qua cửa hàng đại lý, TikTok Shop, Shopee, Tiki và kênh phân phối trực tiếp của Công ty nha bạn.",90,zeo_policy_cskh_docx_v1,2026-07-31,customer,direct,medium,faq|policy|admin_review_if_uncertain,,review_if_sensitive_or_missing_order_context
TRUE,ZeO/PANO/Oplus,policy,return_eligible_cases,Trường hợp nào được đổi trả hàng?;Hàng bị lỗi có được đổi không?;Giao sai sản phẩm thì xử lý thế nào?;Hàng hết hạn khi giao có được trả không?;Thiếu số lượng có được khiếu nại không?;Hàng bị hư khi vận chuyển có được đổi không?,"Dạ hàng được xem xét đổi hoặc trả khi bị lỗi sản xuất như rò rỉ, nắp hỏng, bao bì thủng hoặc bong nhãn; giao sai SKU, mùi hương hoặc trọng lượng; sản phẩm hết hạn tại thời điểm giao; hàng hư hỏng khi vận chuyển có biên bản xác nhận; hoặc số lượng thực tế không khớp hóa đơn hay phiếu giao hàng.",100,zeo_policy_cskh_docx_v1,2026-07-31,customer,direct,medium,faq|policy|admin_review_if_uncertain,,review_if_sensitive_or_missing_order_context
